counter;initialDistance;maxDistance;handDistance;velocity;distfloat velocity;note played
107;0;0;128;12;0.12;9
108;0;0;132;11;0.11;9
109;0;0;140;11;0.11;10
110;0;0;140;10;0.1;10
111;0;0;140;9;0.09;10
112;0;0;136;13;0.13;10
113;0;0;140;13;0.13;10
114;0;0;144;28;0.28;10
115;0;0;144;16;0.16;10
116;0;0;140;11;0.11;10
117;0;0;144;17;0.17;10
118;0;0;136;17;0.17;10
119;0;0;132;15;0.15;9
120;0;0;132;13;0.13;9
121;0;0;140;13;0.13;10
122;0;0;136;13;0.13;10
123;0;0;140;17;0.17;10
124;0;0;132;16;0.16;9
125;0;0;144;12;0.12;10
126;0;0;136;17;0.17;10
127;0;0;144;11;0.11;10
128;0;0;136;21;0.21;10
129;0;0;152;17;0.17;11
130;0;0;144;18;0.18;10
131;0;0;144;17;0.17;10
132;0;0;140;17;0.17;10
133;0;0;136;23;0.23;10
134;0;0;136;8;0.08;10
135;0;0;136;27;0.27;10
136;0;0;140;10;0.1;10
137;0;0;136;25;0.25;10
138;0;0;140;13;0.13;10
139;0;0;140;22;0.22;10
140;0;0;136;13;0.13;10
141;0;0;144;17;0.17;10
142;0;0;140;21;0.21;10
143;0;0;144;10;0.1;10
144;0;0;140;13;0.13;10
145;0;0;140;14;0.14;10
146;0;0;132;8;0.08;9
147;0;0;140;15;0.15;10
148;0;0;136;14;0.14;10
149;0;0;140;12;0.12;10
150;0;0;144;14;0.14;10
151;0;0;140;11;0.11;10
152;0;0;140;9;0.09;10
153;0;0;132;10;0.1;9
154;0;0;136;12;0.12;10
155;0;0;140;15;0.15;10
156;0;0;140;15;0.15;10
157;0;0;136;14;0.14;10
158;0;0;136;17;0.17;10
159;0;0;140;19;0.19;10
160;0;0;140;11;0.11;10
161;0;0;136;29;0.29;10
162;0;0;144;13;0.13;10
163;0;0;132;16;0.16;9
164;0;0;136;20;0.2;10
165;0;0;140;19;0.19;10
166;0;0;128;15;0.15;9
167;0;0;120;17;0.17;9
168;0;0;128;18;0.18;9
169;0;0;128;16;0.16;9
170;0;0;116;18;0.18;8
171;0;0;128;22;0.22;9
172;0;0;120;16;0.16;9
173;0;0;124;20;0.2;9
174;0;0;132;14;0.14;9
175;0;0;124;19;0.19;9
176;0;0;124;20;0.2;9
177;0;0;124;18;0.18;9
178;0;0;128;11;0.11;9
179;0;0;136;19;0.19;10
180;0;0;140;30;0.3;10
181;0;0;136;20;0.2;10
182;0;0;112;16;0.16;8
183;0;0;104;17;0.17;7
184;0;0;256;20;0.2;1
